number,name,credit,sylabus
035003,"מערכות תיב""מ 1",3,"עקרונות הגרפיקה האינטרקטיבית (ג""א):  מבנה מערכת ג""א, ומערכות תיב""ם, שימושים. התקני קלט ופלט של מערכות ג""א. טרנספורמציות פשוטות, מורכבות וטרנספורמציות של היטלים. (איזומטריה פרספקטיבה ). ייצוג הטרנספורמציות באמצעות מטריצות וקואורדינטות הומוגניות. פיתוח הטרנספורמציות באמצעות אלגברה וקטורית והקשר בין שני הייצוגים. ייצור וצבע. מבוא למודלי דימוי גיאומטריים. שיחזור הנדסי. שיטות הדמיה למציאות מדומה. מעבדה: כתיבת תוכניות גרפיות אינטראקטיביות."
035008,אוטומציה תעשייתית,2.5,"פישוט פונקציות בינריות ומימושן. חיישנים חשמליים ופנאומטיים.סוגים שונים של אלמנטים בינריים והשוואתם. תכן מערכות עקיבה בעלות אותות כניסה ע""י משוב. שיטת HUFFMAN. תכן מערכות עקיבה בעלות אותות כניסה אקראיים. תכן מערכות עקיבה בעזרת מערכות קל-שינוי ( PROGRAMMERS ). בקרים מתוכנתים (.P.L.C ).מערכות פנאומטיות: מעגלי קסקדה, שיטת טבלת הזרימה. קודים. אנקודרים. איטרטיביות. רובוטים. שינוע חלקים."
035010,קינמטיקה של מכניזמים,2.5,הגדרות יסוד במכניזימים. דרגות חופש במכנזימים מורכבים. העברת תנועה ומכניזמים אקויולנטיים. שיטות אנליטיות וגרפיות לחישוב מהירויות ותאוצות במכניזמים. מכניזמים מרחביים. סינתזה קינמטית בעזרת מחשב. קינמיטיקה של גלגלי שיניים. ממסרות גלגלי שיניים. קינמטיקה ודינמיקה של פיקות.
035013,שיטות מספריות בהנדסת מכונות 1,2.5,"סכימות הפרשים סופיים (מפורשות וסתומות)  לפתרון משוואות פרבוליות ואליפטיות: קונסיסטיות, יציבות והתכנסות, פתרון בעיות בתחומים מורכבים באמצעות מיפוי אנליטי ונומרי. פתרון משוואות היפרבוליות בשיטת האופיינים ובסכימות הפרשים סופיים (מפורשות וסתומות).  יישום לפתרון נומרי של בעיות בתחומי הנדסת מכונות:  תורת הזרימה, מעבר חום ומסה, תורת האלסטיות.%"
035024,טריבולוגיה שימושית,2.5,"משטחים: חספוס, מאמצים שיוריים, אנרגיית פני שטח. מגע: סוגים, מגע אמיתי, מכאניקת מגע, אדהזיה. חיכוך: חוקים, סוגים ורכיבים דיסיפציית אנרגיה, השפעת גורמים שונים. סיכה: סוגים, תפקידים ומשטרים. בלאי: חמצוני, אברזיבי, אדהזיבי, התעייפות פני שטח, פרטינג, ארוזיה. שיטות: אבחון בעיות, אמצעי ניסוי, הפחתת חיכוך ובלאי כאמצעי חסכון באנרגיה והגדלת אורך חיים של רכיבים מכאניים."
035026,מבוא יצירתי להנדסת מכונות,2.5,"הצגה כללית של התחומים השונים הכלולים בהנדסת מכונות והצגה כללית של מודלים פיסיקלים וכלים מתמטים הרלונטים לתחומים אלו. טכניקות של הצעת רעיונות לפתרון בעיות. כתיבת דו""ח טכני. הכרת מערכת מכנית קיימת על ידי פרוק ןהרכבה וניתוח מנגנונים."
035035,תורת הזרימה 2,2.5,אנליזת סדרי גודל של משוואות נבייר-סטוקס ומספרים חסרי מימד במכניקת זורמים. תורת הכנף הדקה. סיכה הידרודינמית ומשוואת ריינולדס לזרימה זוחלת. מתח פנים גז-נוזל. יציבות שכבות גבול ותיאור אינטגרלי של שכבות גבול. מאמצי ריינולדס בזרימה טורבולנטית. זרימה טורבולנטית בצינור ושכבת גבול טורבולנטית. זרימה דחיסה חד מימדית. קונוס מך וגלי הלם ניצבים.
035039,עבוד אותות לדיאגנוסטיקה ותנודות,3,"סוגי אותות. אנליזה בשדה הזמן. שיטות פוריה, סינון. אנליזה ספקטרלית. זיהוי מערכות לינאריות. עבוד אותות מבוססי מודל. דיאגנוסטיקה של מערכות. אנליזה ספקטרלית של תנודות. זיהוי מקורות, מדידות וסינונים. זיהוי פרמטרים מכניים."
035041,מכניקת מיקרומערכות,3.5,"מבוא למערכות מיקרו-אלקטרו-מכניות ( MEMS ). אלקטרוסטטיקה: משואות שדה. חומרים דיאלקטרים. אנרגיה אלקטרוסטטית. סטטיקה של מיקרומערכות: קורות ופלטות אלקטרו-מכניות. מאמצים שיוריים. חומרים פיזואלקטריים. תורת האלסטיות התרמואלקטרית: ניסוח בעיות. פתרונות מדויקים ונומרים. תופעות תרמיות במיקרומערכות: התפשטות תרמית. אי-התאמה תרמית במבנים שכבתיים. פתרון בעיות אלקטרו-תרמומכניות. דינמיקה ורטט של מערכות אלקטרומכניות: עמיסה חשמלית. מנגנוני ומדדי ריסון במיקרומערכות. אי-לינאריות, יציבות ולינאריזציה."
035043,מבוא לתורת האלסטיות,3,וקטור הזזה. טנזור גרדיאנט ההזזה. טרנספורמציה של טנזורים. טנזורי עיבורים ומאמצים. משואות שיווי משקל דיפרנציאליות. הטרחות ותנאי שפה. אנרגיית עיבורים ועבודת כוחות חיצוניים. משוואות קונסטיטוטיביות. משוואות ההתאמה. פתרונות אנליטיים ונומריים של בעיות נבחרות בתורת האלסטיות.
035044,הידרוסטטיקה של אוניות,3,שרטוט קווי האוניה. מידות ראשיות. מקדמי צורה. משפט ארכימדס. התנאים לשיווי משקל יציב. יציבות תחילית. משפט EULER על ציר הטיה בזוויות קטנות. נוסחת רדיוס מטצנטרי. מטצנטרים. שיטות לאינטגרציה נומרית בהנדסת אניות. עקומות הידרוסטטיות. דיאגרמות ליציבות סטטית ודינמית. השפעת נוזלים ומטענים חופשיים. קריטריונים ליציבות: קריטריון חיל-הים האמריקאי. תופעות התהודה הפרמטרית ( תופעת MATHIEU ). קריטריון חיל-הים הגרמני. קריטריון משרד התחבורה. הצפה ומצב ניזוק. כפיפה אורכית.
035045,קריאוגניקה# מקררים וניזול גזים,3,"קריאוגניקה כדיסציפלינה (כרונולוגיה, ענפים עיקריים, יישומים הנדסיים), ניזול גזים (בהתפשטות איזנטלפית ואיזנטרופית, שרשרת מנזלים, אופטימיזציה), מקררים מיניאטוריים מסוג ג'אול-תומסון(רב-דרגתי, קירור מהיר, מערכות אוטונומיות, חיישני אינפרא-אדום, מכשור נתיחה, מחזור פתוח וסגור, תערובת גזים), מגוון המקררים הקריאוגניים והמודל המשותף לכולם, זרימה חנוקה של גזים בלחצים גבוהים ובטמפרטורות נמוכות, נושאים נבחרים: קריאוגן מוצק, הליום על-זורם, קירור מגנטי, מוליכות-על, יישומים חלליים, החוק השלישי."
035049,עקרונות מערכות הנעת כלי שייט,3,"עקרונות מערכות הנעת כלי שייט: בקיטור, טורבינות גז ומנועי דיזל, כולל מחזורי עבודה ומאפייני פעולה. התאמה בין מנוע למדחף ומערכות העברת כוח כולל מערכות הנעה משולבות. בחירת מערכות הנעה. עקרונות הנעה חשמלית/היברידיות ומאפייני פעולה. עקרונות תחזוקת מערכות מכאניות. עקרונות מערכות זורמים ומשאבות."
035050,תכנון מערכות אופטיות,3.5,"מבוא לתכנון אופטי, אופטיקה גיאומטרית, שיטות נומריות לתיאור התקדמות  קרניים פראקסיאליות, תכונות עדשה יחידה, דימות, אברציות מונוכרומטיות, אברציות כרומטיות, תכונות מערכת אופטית, חומרים אופטיים, מקורות אור, גלאים, שיטות מדידה לאפיון מערכות אופטיות, דוגמאות למערכות אופטיות בסיסיות."
035053,אנרגיה מתחדשת ובת קיימא,3,"מקורות אנרגיה מתחדשים, זמינותם וניצולם. ניצול חום ישיר והמרת אנרגיה לחשמל, הפיכת אנרגית רוח לאנרגיה מכנית וחשמלית והמרת חום ע""י מעגלים תרמודינמיים לאנרגיה מכנית וחשמלית. ניצול חום במחזורים תרמודינמיים. אגירת אנרגיה לאור אי ההתאמה בין זמינות מקורות האנרגיה ורשת החשמל. מקורות אנרגיה בישראל, טכנולוגיות מתאימות, מדיניות ותעריפים."
035062,אנליזה של מבנים,2.5,"שיטות אנליזה במבנים: עבודה וירטואלית, אנרגיה פוטנציאלית, אנרגיה משלימה, משפט קסטלינו, שיטות מטריציות, משפט ההדדיות. קריסה אלסטית ופלסטית של קורות ומסבכים, תוך שימוש בשיטות אנרגיה. פרקים פלסטיים, עומס הרס במבנים. כפיפת טבלות וקריסתם. שיטות מקורבות לחישוב קריסת טבלות בתחום הפלסטי. תגובה ממברנית של קליפות. טבלות מחוזקות."
035124,אנליזת תהליכי עבוד,2.5,"התנהגות מתכות בתחום הפלסטי: מודלים של כניעה, מודלים של חכוך שיטות אנליזה בעצוב פלסטי:  שיטת העבודה האידיאלית, שיטת החסם התחתון, שיטת החסם העליון, שיטת קוי ההחלקה. ניתוח תהליכים אופייניים: כבישה, ערגול, משיכה, שיחול, לחצנות וכו'. דגש על אילוצים ואופטימיזציה אנרגטית.תהליכים מיוחדים המבוצעים בעזרת נוזלים. שיקולים הנדסיים בבחירת תהליכי עבוד ( כולל עבוד שבבי לסוגיו ).  ופרויקטון תכנוני מסכם הכולל סינתזה של החומר הנלמד"
035146,מנועי שריפה פנימית,2.5,מחזורים תרמודינמיים אידיאליים ומעשיים. נצילויות. קריטריונים לתיכון זרימת אויר. טעינת יתר. אספקת דלק. הצתה. שריפה וזימון. מעבר חום בחלקי המנוע. סיכה וקרור המנוע. מערכות שימון. מערכות קרור. מערכות בקרה. מנועים בעלי תנועה סובבת ( וונקל ).
035188,תורת הבקרה,3.5,"מערכות - תכונות מערכות רציפות (ר) ובדידות (ב): מודלים מתמטיים של מערכות ותהליכים, הצגת מערכות על ידי מטריצות פולינומיאליות, ניתנות לבקרה / השגה וניתנות לשיחזור (ר/ב), מימושים מינימליים, יציבות, קריטריונים ליציבות (ר/ב).% משוב - מערכות SISO : דיאגרמות משבצות, זרימת סיגנלים, יציבות וסיבתיות החוג הסגור, תגובת תדר של החוג הסגור, מעלי M ו- N, דיאגרמת ניקולס, רגישות, רובסטיות של יציבות. תכן בקרים: דרישות ושיקולי תכן, בקרי תקון, שיטות ואלגוריתמי תכן. בקרים תעשיתיים: PID, מז""ם, בקרת קסקדה, בקרת היזון קדימה, בקרת מערכות לא-מינימום פאזה, בקרת מודל פנימי. משוב - מערכות MIMO (מרחב המצב): משוב מצב, משערכים מסדר מלא, משוב מצב + משערך, תכן משערכים במשור התדר, בקר ממקם קטבים, בקר ליניארי אופטימלי.% יציבות מערכות לא ליניאריות (ל""ל): מאפייני מערכות ל""ל, אלמנטים ל""ל, הצגת מערכות ל""ל, הפונקציה מתארת, קריטריון פופוב, קריטריון המעגל, שיטות ליאפונוב."
036001,שיטות אנליטיות בהנדסת מכונות 1,4,"פונקציות אנליטיות של משתנה מרוכב. התמרות קונפורמיות ופתרון של משוואת לפלס. משפט שאריות, עקרון ארגומנט. משפט רושה, חישוב של אינטגרלים מסוימים. פתרון של מד""ח בשיטת הפרדת משתנים, בעיית שטורם-ליוביל. פתרון של מד""ר בשיטת טורים. פולינומי לז'נדר. פונקציות בסל. תוצאות למידה: בתום הקורס הסטודנט ידע: 1. לחקור תכונות עיקריות של פונקציות אנליטיות ולפתחן לטורי חזקות. 2. לפתור משוואת לפלס בדו-מימד בעזרת פונקציות אנליטיות והעתקות קונפורמיות. 3. לחשב אינטגרלים מסוימים בעזרת שאריות של פונקציות אנליטיות. 4. לנתח מד""ר ליניאריות. 4. להשתמש בפונקציות בסל ופולינומי לז'נדר לפתרונות של בעיות פיזיקליות."
036005,דינמיקה אנליטית 1,3,"עקרונות יסודיים, עבודה וירטואלית, עקרון ד'אלמבר, משוואות לגרנז'. חוקי שימור, שיטת ראוט, עקרון המילטון, מערכות בלתי משמרות ובלתי הולונומיות, תנועה במערכות מואצות, דינמיקה של גוף קשיח, משוואות לגרנז' עבור קוואזי-קואורדינטות ויישומים."
036006,גלי מאמצים במוצקים,2.5,"גלים בתווך אינסופי. החזרה והעברה בשפות. גלים בתווך סופי מוטות, קורות וטבלאות. פתרונות מקורבים ומשוואות פוחמר-קרי. גלים בתווך עם ריסון ויסקואלסטי. שיטות מעבדה לבדיקת תכונות דינמיות של מוצקים."
036007,תנודות במבנים,3,"מערכות דינמיות בעלות ריבוי דרגות חופש (ניסוח ניוטוני והמילטוני, משואות לגרנז). מערכות דינמיות רציפות (קורות, לוחות, קליפות) והורדת סדרן (מודים משוערים, גלרקין וריילי-ריץ). תנודות מחזוריות ופעימות קווזי- מחזוריות (פתרונות מדוייקים, מקורבים ונומריים). יציבות תנודות וחקירה פרמטרית (קשיחות, ריסון ואילוצים דינמיים). אנליזה ספקטרלית ומבוא לתנודות אקראיות."
036008,זרימה דחיסה,2.5,"חזרה על משוואות היסוד: רציפות, מומנטום ואנרגיה. תנאי שפה. הפרעות.משפט קרוקו. מהירות קולית. זרימה חד-ממדית קבועה בזמן. זרימה בנחירים. עקומי פאנו וריילי. גלי הלם: גלי הלם ניצבים ומשופעים. תנאי שפה. החזרה. דחיסה והתפשטות על ידי סיבוב. תאורית הפיתוח בגלי הלם חלשים. פוטנציאל המהירות: כנפיים דקות בזרימה תת ועל קולית. גופים דקים - דו-ממדיים וסיבוביים. זרימה קונית. זוית התקפה. דמיות.  זרימה חד-ממדית תלויה בזמן: המשוואות האקוסטיות. גלי נפץ, תנאי שפה, השפעה על מבנים.%"
036015,שיטות אלמנטים סופיים בהנדסה 1,3,"ניסוחים וריאציוניים, שיטות שקלול, עקרונות וריאציוניים ופתרונות מקורבים לבעיות תנאי שפה. אלמנטים חד מימדיים(C1-C0)שיטות לפתרון משוואות אלגבריות. אלמנטים איזופרמטריים רב מימדיים. מבנה אופיני של תוכניות מחשב ועיבוד ממוחשב של נתונים ותוצאות. הערכות שגיאה. שיטות אלמנטים גבוליים, רצועות סופיות ואלמנטים ספקטרליים."
036020,"גאומטריה חישובית ומודלים לתיב""ם 1",2.5,"משוואת מפורשות סתומות ופרמטריות של קווים, עקומות ומשטחים. משוואות חבויות. מעטפת לעקומות ועקומות היסט ( OFFSET ). ניתוח, יצוג ותכנון (שיטת LIMING ) של חתכים קוניים. אינטרפולציה ותכנון באמצעות חתכים. יסודות גיאומטריה דיפרנציאליות, משוואות FRENET-SERRET. המטריצות היסודיות: הראשונה והשניה. תכנון של עקומות ( 3-D ) פרמטריות מרוכבות ומשטחים. (ייצוגי: BEZIER, FERGUSON, SPLINES וטלאי COON ). חתכים קוניים כמשוואות פרמטריות ראציונליות."
036031,טריבולוגיה עיונית,3,"הנושאים: המידול התיאורטי של מגע, אדהזיה וחיכוך בין משטחים אמיתיים. הקורס מבוסס על קריאת מאמרים קלאסיים ועדכניים מהספרות הטריבולוגית."
036038,תהליכי מעבר בפן ביני,3,"מבוא. מתח פנים, משוואת לפלס-יאנג. תנאי שפה על פן ביני. זרימות קפילריות: בעית המניסקוס, בעית ציפוי, גלי שטח. זרימה תרמוקפילרית. מושגי יסוד ביציבות הידרודינמית. תורת היציבות הליניארית. יציבות של פן ביני. אי-יציבות מרנגוני. זרימה ויציבות של קרום נוזלי דק."
036041,תכן הנדסי מתקדם 1,3,"שלבי התכן הקונספטואלי השיטתי של מוצר חדש, כולל: ניתוח צרכים וניהול הערך ללקוח. טכניקות בית האיכות, הפשטה וניתוח פונקציונלי. חיפוש ויצירת פתרונות בשיטות אינטואיטיביות ודיסקורסיביות, שילוב לפתרונות מלאים בתהליך הנדסה משולבת, תכן לייצוריות, הנדסת ערך והנדסת איכות."
036045,גיאומטריה חישובית ומודלים בתיבם 2,3,"תיכנון לייצור של עקומות ומשטחים המבוססים על ייצוג פולינומיאלי ופרמטרי: B- SPLINES, NURBS.  שיטות אינטרפולציה לעקומות ומשטחים. התאמת משטחים מרוכבים.  שיטות להעלאת והורדת דרגה של משטח.  בניית משטחים ע""י פעולות משיכה ועירבול.  אלגוריתמי חיתוך בין משטחים פרמטריים.  משטחים מהוקצעים.  פעולות בוליאניות על משטחים פרמטריים."
036048,אנליזה של רטט לא לינארי,3,אנליזה של רטט לא לינארי במערכות מכניות:  שיטות אסימפטוטיות (ריבוי סקלות).  שיטות נומריות (מפות פואנקרה).  פתרונות מחזוריים (אולטרה-סב- הרמוניים).  פתרונות קווזי-מחזוריים.  יציבות לא לינארית.  ביפורקציות. מערכות הנדסיות בעלות רבוי דרגות חופש (אינטראקציה מודלית).   מערכות בעלות ערור עצמי (רטט עקב זרימה).  מערכות רציפות (קריסה דינמית).
036049,רשתות עצביות לבקרה ודיאגנוסטיקה,2.5,"מבנה רשתות עצביות, רשתות שכבתיות ולולאיות.  שיטות לימוד כשערוך פרמטרים.  הקשר לשיטות אדפטיביות בבקרה, לעיבוד אותות ולסיווג. איפיונים ייחודיים לרשתות עצביות.  לימוד עם מנחה, לימוד בעזרת חיזוקים ולימוד עצמי.  רשתות לבקרה ובעית המנחה המרוחק.  רשתות סיווג לדיאגנוסטיקה ובעית הייצוג."
036053,אמינות ובדיקות,3,ניתוח אמינות של מערכות טכנולוגיות.  שילוב שיטות אנליטיות עם מודלים הנדסיים.  תכנון ופענוח של ניסויים.  מודלים הסתברותיים ומודלים לפער-מידע לתאור אי-וודאות.  תכנון והחלטה אסטרטגיים בתנאי אי-וודאות חמורים.  מבחני השערה סטטיסטיים לקבלה. מבחני ביצועים ובדיקות סביבתיות.  מבחני משך חיים.  איבחון כשל.  שיטת טגוצ'י . זמינות ותחזוקתיות.  תקנים.
036055,אופטיקה לינארית ויישומים  2,2.5,"מיקרו-אופטיקה, אופטיקה בינארית, טרנספורמציות אופטיות גאומטריות, עיצוב חזיתות גלים, קישורים אופטיים, אלמנטים אופטיים המבוססים על מבנים תת-אורכי-גל, אלמנטים מקטבים תת-אורכי-גל לא תלויים במרחב ותלויים במרחב, זכרונות אופטיים ומערכות רישום, מהודי לייזר עם אלמנטים אופטיים לא-קונבנציונליים, סינון מודים, הדמאה תרמית, מדעי הצבע."
036057,שטות פער-ידע להערכת סיכון ואמינות,3,"החלטות אסטרטגיות בתנאי אי-וודאות  בניתוח, בתכן ובאישור של מערכות מורכבות.  הערכה ובקרה של אמינות וסיכונים.  אמינות וסיכונים בפרויקטים. פרדיגמות להחלטה עם פערי ידע. ישומיות עם מידע חלקי. איזון בין חסינות להזדמנות.  התפתחות של העדפות בעזרת ניתוח אי-וודאות. תמורות ( TRADE-OFFS ) עם שיפוט ערכי וקריטריונים מרובים. למידה וערך של מידע.  החלטות עם אי-וודאויות משולבות."
036062,מכניקת מגע,3,משוואות יסוד באלסטיות. כוח מרוכז על שפה מישורית של גוף אלסטי חצי-אינסופי.  פתרון HERTZ למגע בין גופים אלסטיים.  מגע לא הרציאני.  העמסה ניצבת ומשיקית של אזור המגע.  מגע עם החלקה ועם הדבקה.  מגע אלסטו-פלסטי ביחסי פואסון שונים.  העמסה ושחרור של מגע אלסטו-פלסטי.  מגע בין משטחים מחוספסים.  דוגמאות מעשיות.
036064,נושאים מתקדמים בהנדסת מכונות 4,3,"נושאי מחקר מתקדמים במדעי ההנדסה בתחום מחקרו ומומחיותו של המרצה. הסילבוס יקבע ע""י המרצה באשור הועדה ללמודי מוסמכים לפני תחילת הסמסטר בו ניתן הקורס. סמסטר א' תשע""ז: מערכות זרימה אלקטרו-כימיות. סמסטר ב' תש""ף: תכן מערכות בקרה רובוסטית בעזרת שיטת QFT."
036070,ננואופטיקה ומבני' אופט' מחזוריים,2.5,"אופטיקה שדה קרוב, מגבלת הרזולוציה וגלים דועכים, מבנים תת-אורך גל, מטה-חומרים אופטיים מבוססים על ננומבנים, גלי שטח, פלזמונים, פונון-פולריטון, מבנים מחזוריים ומבנים תלויים במרחב, פליטה תרמית בשדה הקרוב, אופטיקה וקטורית (פרמטרי סטוק, מטריצות מולר וגו'נס, כדור פואנקרה), מבנים ננומטריים תלויי קיטוב, אופטיקה של שכבות מתכת דקות, פאזות גאומטריות במבנים ננומטריים, שימושים לננופוטוניקה."
036073,נושאים מתקדמים בהנדסת מכונות 8,3,"הסילבוס יקבע על ידי המרצה באישור הועדה לתארים מתקדמים לפני תחילת הסמסטר בו ינתן המקצוע.% אביב תשע""ו: בקרת תנועה ביולוגית חורף תשע""ח: תרמו מכניקה של חומרים סמסטר א' תש""פ: דינמיקה וניסוי בגלים ותנודות."
036081,עקרונות תכן ויצור מיקרו-מערכות,2,"מיקרו מערכות: הגדרות, מטרות וחשיבות.  המזעור והשלכותיו על ההתנהגות המכנית של התקנים.  מבנים מיקרו מכניים ושיטות ייצורם.  סקירת תהליכי מיקרו עיבוד והשפעתם על התכן. מבוא לתכן מיקרו מכני.  מערכות חישה ועירור משולבות אופטיקה, אלקטרוניקה וחומרים מגיבים.  התאמת התכן בעזרת מחשב לתכן תהליכי מיקרו עיבוד.  מידול מערכות מיקרו-מכניות ועקרונות זיווד."
036083,החלטות#  אתגרים והשלכות,2,"מהנדסים מקבלים החלטות עם דגש על פונקציונליות, יעילות ואמינות. היבטים פילוסופיים ומגבלות של החלטות תחת אי-וודאות. אנומליות של החלטות. לספק ולמטב כיסודות של החלטות. תכן ללא כשל והתאוששות מאסון.  בחירת תאוריה תומכת החלטה. הצורך בריבוי תורות אי-ודאות.  רציונליות."
036086,זרימה ותופעות מעבר בהתקנים מיקרונ,3,"זרימה, מעבר מסה ותופעות פיסיקליות-כימיות במיקרוזרימה ושימושם בהתקני מעבדה-על-שבב.  תנועה בראונית, הסעה סקאלרית, דיפוזיית טיילור אריס, מערכות הסעה-דיפוזיה-ריאקציה, תמיסות טעונות ומערכות בופרים, שיטות ריכוז והפרדה על גבי שבב, זרימה קפילרית וזרימה בתווך פורוזיבי.% תוצאות למידה: בסיום הקורס הסטודנט ידע: 1. לנסח משוואות זרימה עם כוחות חשמליים. 2. לבצע אנליזת סדרי גודל למשוואות זרימה. 3. לבצע אנליזת טיילור-אריס לזרימות דיספרסיביות. 4. ליישם סימולציות מונטה קרלו לחלקיקים בזרימות דיספרסיביות.  5. לתכנן תנאים אופטימליים לריאקציות על גבי משטחים במיקרו תעלות.  6. לנסח ולפתור משוואות לתמיסות טעונות.  7. לפתח את תנאי הנייטרליות וליישמו לבעיות אלקטרוקינטיות.  8. לתכנן ולנתח מערכות אלקטרופורזה ואיזוטכופורזה."
036093,מכניקה של חומרים מרוכבים 1,3,"סוגי חומרים מרוכבים, יישומים, אנאיזוטרופיה וחוק הוק: מהחומר הכללי ביותר ועד לחומר איזוטרופי, מודולים הנדסיים וטנזור הקשיחות. מיקרומכניקה של חומרים מרוכבים, תכונות אפקטיביות ואנרגיה של תווך הטרוגני, אלמנט נפח אופייני, גבולות של וויט - רויס, דוגמאות לחישוב מודולים אפקטיביים של חומרים מרוכבים. טרנספורמציה של טנזור הקשיחות, מצב מישורי, אינוריאנטים של תכונות השכבה הבודדת, כיוונים ראשיים (מקומיים) וכיוונים גלובלים. תכונות מכניות של שכבות מודבקות, טנזור הקשיחות של שכבות מודבקות, הנחות קינמטיות, משוואות קונסטיטוטיביות. תנאי שפה, דוגמאות לפתרונות מדויקים, אנרגיה ושיטות קירוב, דיוק הפתרון. מאמצים היגרותרמיים וקבועי חומר. חוזק, קריטריונים ואופני כשל של שכבה בודדת וחומרים מרוכבים שכבתיים. תוצאות למידה: בסיום הקורס הסטודנט ידע: 1. מהו חומר מרוכב, ממה הוא עשוי, איך הוא מתנהג, יישומים, מתאמים והגבלות. 2. איך ההרכב והתכונות המכניות של המרכיבים משפיעים על התכונות המכניות וההתנהגות של החומר המרוכב. 3. ידע בעבודה על התנהגות מכנית של חומרים מרוכבים במיוחד על פולימרים משוריינים עם סיבים. 4. איך חומר מרוכב יתנהג תחת עומסים מכנים והיגרותרמיים. 5. ירכוש כלים כיצד לחשב תכונות מכניות אפקטיביות של חומר מרוכב. 6. לבחור שורה של חומרים גולמיים לשכבה, סדר הדבקת שכבות בפלטות ותכנון מבנה הפלטות המתאים ביותר ליישומים. 7. שיטות יצור של חומרים מרוכבים. 8. ירכוש יכולת תכנון לכשל של שכבה ומבני פלטות."
036097,דינמיקה של מרוכבים ומטא-חומרים,3,"קינמטיקת הרצף, משוואות שימור אלסטודינמיות. גלי מישוריים, פונקצית גרין, גלים בתווך מחזורי, משפט בלוך-פלוקה, מבנה פסים אלסטים. קשרי אנרגיה, סיבתיות ופאסיביות. תכונות אפקטיביות קוואזי-סטטיות ודינמיות. הומוגניזציה אסימפטוטית עבור אורכי-גל ארוכים ותדירויות נמוכות. הומוגניזצית וויליס. גבול שימושיות הומוגניציה דינמית, תכונות מטא-חומרים.% תוצאות למידה: בסיום הקורס, הסטודנטים ידעו: 1. לנסח את המשוואות השולטות בהתקדמות גלים בתווך אלסטי מחזורי. 2. להבין את המושג של תכונות אפקטיביות דינמיות, ואת המגבלות הפיסיקליות שהן חייבות לקיים. 3. להכיר את שתי הגישות הנפוצות להומוגניזציה דינמית, כלומר הומוגניזציה אסימפטוטית והומוגניזצית וויליס. 4. להבין כיצד מטא-תכונות דינמיות נוצרות. 5. להבין את גבול השימושיות של הומוגניזציה דינמית."
044000,פרויקט מחקרי לסטודנטים מצטיינים,4,"דרישות קדם: מיועד לסטודנטים בתכנית למצטיינים בדגש מחקרי. התמודדות עם בעייה מחקרית על ידי הסטודנט בהנחייה של חבר סגל אשר הביע נכונות להנחות אותו בנושא. הפרויקט יכלול לימוד עצמי של רקע נושא המחקר, ניסוח הבעייה המחקרית, חיפוש וסקירה של עבודות רלוונטיות קודמות, בחירת דרך טיפול בבעיה, בדיקה (ניסויית, חישובית או תיאורטית של הרעיונות)וכתיבת דו""ח מסכם. הפרויקט יכול להימשך יותר מסמסטר אחד. עם צבירת 100 נקודות, הסטודנטים מתבקשים להידבר עם חברי סגל בנוגע לבחירת נושא ותחילת הכנות לקראת הפרויקט. הרשמה פורמאלית תתבצע לאחר צבירת 120 נקודות, בסמסטר שבו יוגש הפרויקט."
044101,מבוא למערכות תכנה,3,"השלמת נושאים בתכנות C: רשומות, ניהול זיכרון, פוינטרים לפונקציות, מודולים, מימוש מבני נתונים (רשימות מקושרות, מחסנית, עצי חיפוש), תכנות מונחה עצמים (מחלקות, תבניות, הורשה, פולימורפיזם) STL ולימוד שפת ++C. סביבת UNIX, כלים ומנגנונים, מערכת הקבצים, תהליכים, תכנות בשפת BASH. מתודולוגיה של פיתוח ותחזוקת תוכנה."
044102,בטיחות במעבדות חשמל,0,"במסגרת מקצוע זה הסטודנט חייב להשתתף בהרצאה בנושא ""בטיחות עבודה במערכות חשמל"" (4 שעות) ובמבחן מסכם. הציון במקצוע  הוא ""עובר/נכשל"", כאשר סף המעבר הוא ציון 80 במבחן. קבלת ציון ""עובר"" במקצוע זה הוא תנאי קדם לביצוע ניסויים ופרוייקטים בכל מעבדות הפקולטה להנדסת חשמל, למעבדות הפקולטה לפיסיקה (לסטודנטים של הנדסת חשמל), ולמעבדות הפקולטה להנדסה ביורפואית."
044105,תורת המעגלים החשמליים,4,"קירוב המעגל החשמלי המקובץ, חוקי יסוד, מעגלי התנגדות, שיטת מתחי צמתים ומשפטי רשת. מעגל לא לינארי, ליניאריזציה לאות קטן ויישומי אי-ליניאריות באות גדול עבור מעגלים בוליאניים. סלילים וקבלים. תופעות מעבר זמניות במעגלים חשמליים, מסדר ראשון ושני וניתוח הספקים. רשת ליניארית במצב מתמיד סינוסי: פאזורים, מסנני תדר ומעגלי תהודה, כולל שיקולי הספק. תופעות צימוד קיבולי וצימוד השראותי. מעגלי מגבר שרת."
044114,מתמטיקה דיסקרטית ח',3,"הגדרה, הצגה ופעולות על קבוצות. יחסים בינריים, הרכבת יחסים, יחסי שקילות. קבוצת החזקה, קבוצות אינסופיות ומשפט קנטור. תחשיב הפסוקים, אקסיומה והוכחה, תחשיב היחסים. עקרון האינדוקציה. הגדרה באינדוקציה וברקורסיה. נוסחאות נסיגה. עקרונות ספירה בסיסיים. צירופים ותמורות. המקדמים הבינומיים. פתרונות ע""י נוסחאות נסיגה. עקרון שובך היונים ועקרון ההכלה וההדחה."
